year,quarter,entity_type,entity_name,rank,type,count,amount,state
2023,1,pincode,560076,3,TOTAL,2282,3399622.0,
2023,1,pincode,560037,4,TOTAL,2272,3261324.0,
2023,1,pincode,500072,5,TOTAL,2244,3175666.0,
2023,1,pincode,201301,6,TOTAL,2080,2580701.0,
2023,1,pincode,560078,7,TOTAL,2018,2904918.0,
2023,1,pincode,122001,8,TOTAL,2018,2513445.0,
2023,1,pincode,560058,9,TOTAL,1931,2145047.0,
2023,1,pincode,411057,10,TOTAL,1914,2708878.0,
2023,2,state,Karnataka,1,TOTAL,117232,175704013.0,
2023,2,state,Maharashtra,2,TOTAL,102754,157303399.0,
2023,2,state,Tamil Nadu,3,TOTAL,79698,105328191.0,
2023,2,state,Uttar Pradesh,4,TOTAL,74194,122522457.0,
2023,2,state,Kerala,5,TOTAL,61032,100620604.0,
2023,2,state,Telangana,6,TOTAL,55118,79238968.0,
2023,2,state,West Bengal,7,TOTAL,49792,65204280.0,
2023,2,state,Delhi,8,TOTAL,41358,54951108.0,
2023,2,state,Haryana,9,TOTAL,40710,62186066.0,
2023,2,state,Rajasthan,10,TOTAL,37170,61301449.0,
2023,2,district,Bengaluru Urban,1,TOTAL,69812,99096628.0,
2023,2,district,Pune,2,TOTAL,25943,39373541.0,
2023,2,district,Chennai,3,TOTAL,15678,16453783.0,
2023,2,district,Thane,4,TOTAL,15403,20442020.0,
2023,2,district,Rangareddy,5,TOTAL,13998,20753771.0,
2023,2,district,Mumbai Suburban,6,TOTAL,12717,15575502.0,
2023,2,district,Medchal Malkajgiri,7,TOTAL,11833,17077694.0,
2023,2,district,Gurugram,8,TOTAL,11759,15891257.0,
2023,2,district,Jaipur,9,TOTAL,11344,16436901.0,
2023,2,district,Thiruvallur,10,TOTAL,10840,12569262.0,
2023,2,pincode,560068,1,TOTAL,3141,3959944.0,
2023,2,pincode,560037,2,TOTAL,2575,3376141.0,
2023,2,pincode,500072,3,TOTAL,2534,3686902.0,
2023,2,pincode,560076,4,TOTAL,2184,3330509.0,
2023,2,pincode,122001,5,TOTAL,2154,2955207.0,
2023,2,pincode,560043,6,TOTAL,2126,3158190.0,
2023,2,pincode,560078,7,TOTAL,2051,2883618.0,
2023,2,pincode,201301,8,TOTAL,1992,2418828.0,
2023,2,pincode,411057,9,TOTAL,1944,2581267.0,
2023,2,pincode,560100,10,TOTAL,1843,2510992.0,
2023,3,state,Karnataka,1,TOTAL,139699,199448538.0,
2023,3,state,Maharashtra,2,TOTAL,104872,151171882.0,
2023,3,state,Tamil Nadu,3,TOTAL,91069,114625593.0,
2023,3,state,Uttar Pradesh,4,TOTAL,78940,121483170.0,
2023,3,state,Kerala,5,TOTAL,66059,110021582.0,
2023,3,state,Telangana,6,TOTAL,61523,84397465.0,
2023,3,state,West Bengal,7,TOTAL,58131,76359312.0,
2023,3,state,Gujarat,8,TOTAL,51049,65768085.0,
2023,3,state,Delhi,9,TOTAL,47113,58878500.0,
2023,3,state,Andhra Pradesh,10,TOTAL,43150,57802396.0,
2023,3,district,Bengaluru Urban,1,TOTAL,81520,109497225.0,
2023,3,district,Pune,2,TOTAL,25053,36210265.0,
2023,3,district,Chennai,3,TOTAL,17189,16904783.0,
2023,3,district,Rangareddy,4,TOTAL,16236,23374057.0,
2023,3,district,Thane,5,TOTAL,14544,18428928.0,
2023,3,district,Ahmadabad,6,TOTAL,13645,16204152.0,
2023,3,district,Gurugram,7,TOTAL,13467,16796070.0,
2023,3,district,Surat,8,TOTAL,13306,13249715.0,
2023,3,district,Medchal Malkajgiri,9,TOTAL,13044,17698951.0,
2023,3,district,Mumbai Suburban,10,TOTAL,12754,14762376.0,
2023,3,pincode,560068,1,TOTAL,3688,4646310.0,
2023,3,pincode,560037,2,TOTAL,2892,3957250.0,
2023,3,pincode,500072,3,TOTAL,2646,3365765.0,
2023,3,pincode,560076,4,TOTAL,2534,3590807.0,
2023,3,pincode,122001,5,TOTAL,2457,3051171.0,
2023,3,pincode,560043,6,TOTAL,2443,3288213.0,
2023,3,pincode,560078,7,TOTAL,2402,3244684.0,
2023,3,pincode,201301,8,TOTAL,2320,2626339.0,
